time,open,high,low,close,tick_volume
2025-01-28 12:25:00,1.0431,1.04338,1.04304,1.04316,271
2025-01-28 12:30:00,1.04315,1.04337,1.04303,1.04335,199
2025-01-28 12:35:00,1.04335,1.04349,1.04327,1.04336,166
2025-01-28 12:40:00,1.04336,1.04358,1.04318,1.04342,289
2025-01-28 12:45:00,1.04342,1.04344,1.043,1.04305,320
2025-01-28 12:50:00,1.04305,1.04316,1.04249,1.0426,356
2025-01-28 12:55:00,1.0426,1.04271,1.04249,1.04249,335
2025-01-28 13:00:00,1.04248,1.04271,1.0424,1.04262,275
2025-01-28 13:05:00,1.04262,1.04312,1.04261,1.04308,273
2025-01-28 13:10:00,1.04308,1.04326,1.0429599999999999,1.04321,255
2025-01-28 13:15:00,1.04321,1.04322,1.04277,1.04286,349
2025-01-28 13:20:00,1.04285,1.04299,1.04278,1.04284,238
2025-01-28 13:25:00,1.04289,1.04297,1.04272,1.04277,208
2025-01-28 13:30:00,1.04277,1.04295,1.04262,1.04262,244
2025-01-28 13:35:00,1.04262,1.04264,1.04232,1.04246,221
2025-01-28 13:40:00,1.04246,1.04282,1.04246,1.04258,249
2025-01-28 13:45:00,1.04257,1.04261,1.04227,1.04257,301
2025-01-28 13:50:00,1.04257,1.04278,1.04227,1.04271,273
2025-01-28 13:55:00,1.04271,1.04271,1.04227,1.04232,364
2025-01-28 14:00:00,1.04232,1.04243,1.04154,1.04176,628
2025-01-28 14:05:00,1.04176,1.04196,1.04138,1.0416,671
2025-01-28 14:10:00,1.04161,1.04215,1.04158,1.04192,494
2025-01-28 14:15:00,1.04193,1.04196,1.04145,1.04158,426
2025-01-28 14:20:00,1.04158,1.0421,1.04156,1.0419,390
2025-01-28 14:25:00,1.0419,1.04212,1.04187,1.04201,254
2025-01-28 14:30:00,1.04201,1.04216,1.04173,1.04214,313
2025-01-28 14:35:00,1.04214,1.04226,1.04187,1.04206,302
2025-01-28 14:40:00,1.04206,1.0423,1.04188,1.04227,261
2025-01-28 14:45:00,1.04227,1.04239,1.04206,1.04226,329
2025-01-28 14:50:00,1.04226,1.04255,1.04217,1.04217,344
2025-01-28 14:55:00,1.04217,1.0423499999999999,1.04172,1.042,439
2025-01-28 15:00:00,1.04199,1.04219,1.04186,1.04197,334
2025-01-28 15:05:00,1.04197,1.04219,1.04173,1.04211,356
2025-01-28 15:10:00,1.04211,1.04241,1.04205,1.04234,413
2025-01-28 15:15:00,1.04233,1.04266,1.0423,1.04233,436
2025-01-28 15:20:00,1.04233,1.04283,1.04233,1.04279,512
2025-01-28 15:25:00,1.04279,1.04279,1.0425200000000001,1.0425200000000001,283
2025-01-28 15:30:00,1.04251,1.0431300000000001,1.04246,1.04283,630
2025-01-28 15:35:00,1.04278,1.04281,1.04239,1.04253,393
2025-01-28 15:40:00,1.0425200000000001,1.04297,1.04241,1.04294,505
2025-01-28 15:45:00,1.04293,1.04304,1.04219,1.04226,384
