time,open,high,low,close,tick_volume
2025-01-17 14:00:00,1.44119,1.44144,1.44085,1.4409100000000001,699
2025-01-17 14:15:00,1.44092,1.44245,1.44092,1.4424299999999999,655
2025-01-17 14:30:00,1.44245,1.44406,1.4424299999999999,1.44388,926
2025-01-17 14:45:00,1.44387,1.44395,1.4427400000000001,1.4432,861
2025-01-17 15:00:00,1.44319,1.44351,1.44284,1.44303,1241
2025-01-17 15:15:00,1.44302,1.44322,1.44242,1.44308,1311
2025-01-17 15:30:00,1.44308,1.44332,1.44275,1.44292,1475
2025-01-17 15:45:00,1.4429400000000001,1.44398,1.44287,1.44361,1403
2025-01-17 16:00:00,1.4436,1.44536,1.44315,1.44534,1439
2025-01-17 16:15:00,1.44534,1.44642,1.4438900000000001,1.4439600000000001,2729
2025-01-17 16:30:00,1.4439600000000001,1.4445000000000001,1.4422,1.44263,3402
2025-01-17 16:45:00,1.44263,1.44269,1.4409100000000001,1.44149,2884
2025-01-17 17:00:00,1.44149,1.44165,1.43822,1.43967,3741
2025-01-17 17:15:00,1.43966,1.44076,1.43939,1.43975,2916
2025-01-17 17:30:00,1.43983,1.44138,1.43968,1.44056,2257
2025-01-17 17:45:00,1.44056,1.44063,1.43968,1.44006,2207
2025-01-17 18:00:00,1.44007,1.44127,1.44005,1.44065,1745
2025-01-17 18:15:00,1.44066,1.44108,1.44048,1.44056,1693
2025-01-17 18:30:00,1.44055,1.44103,1.4402300000000001,1.4408400000000001,1203
2025-01-17 18:45:00,1.4408400000000001,1.44248,1.44052,1.4421599999999999,1380
2025-01-17 19:00:00,1.44217,1.44248,1.4417,1.4423599999999999,1112
2025-01-17 19:15:00,1.4423599999999999,1.4431,1.44229,1.44303,963
2025-01-17 19:30:00,1.44302,1.44385,1.44284,1.44357,985
2025-01-17 19:45:00,1.4435799999999999,1.44387,1.44336,1.44383,1019
2025-01-17 20:00:00,1.4438,1.44505,1.44376,1.44489,895
2025-01-17 20:15:00,1.44489,1.44504,1.44427,1.44504,945
2025-01-17 20:30:00,1.44508,1.44544,1.44417,1.4443,899
2025-01-17 20:45:00,1.44429,1.44538,1.44417,1.44519,851
2025-01-17 21:00:00,1.4452,1.44531,1.44465,1.44527,953
2025-01-17 21:15:00,1.44526,1.44617,1.44523,1.44598,933
2025-01-17 21:30:00,1.44599,1.44647,1.44597,1.44612,642
2025-01-17 21:45:00,1.4461,1.44635,1.44568,1.44604,884
2025-01-17 22:00:00,1.44604,1.44706,1.44601,1.44705,1060
2025-01-17 22:15:00,1.44706,1.44743,1.44635,1.44688,1167
2025-01-17 22:30:00,1.44687,1.44687,1.44628,1.44628,615
2025-01-17 22:45:00,1.44629,1.44682,1.44625,1.44656,748
2025-01-17 23:00:00,1.44663,1.44815,1.44663,1.44761,337
2025-01-17 23:15:00,1.44761,1.44775,1.4470399999999999,1.44709,365
